 v-sweep         v(vin)          v(vout)        
 0.00000000e+00  0.00000000e+00  1.49999823e+00 
 1.00000000e-03  1.00000000e-03  1.49999821e+00 
 2.00000000e-03  2.00000000e-03  1.49999820e+00 
 3.00000000e-03  3.00000000e-03  1.49999818e+00 
 4.00000000e-03  4.00000000e-03  1.49999816e+00 
 5.00000000e-03  5.00000000e-03  1.49999814e+00 
 6.00000000e-03  6.00000000e-03  1.49999812e+00 
 7.00000000e-03  7.00000000e-03  1.49999810e+00 
 8.00000000e-03  8.00000000e-03  1.49999808e+00 
 9.00000000e-03  9.00000000e-03  1.49999805e+00 
 1.00000000e-02  1.00000000e-02  1.49999803e+00 
 1.10000000e-02  1.10000000e-02  1.49999801e+00 
 1.20000000e-02  1.20000000e-02  1.49999798e+00 
 1.30000000e-02  1.30000000e-02  1.49999795e+00 
 1.40000000e-02  1.40000000e-02  1.49999793e+00 
 1.50000000e-02  1.50000000e-02  1.49999790e+00 
 1.60000000e-02  1.60000000e-02  1.49999787e+00 
 1.70000000e-02  1.70000000e-02  1.49999784e+00 
 1.80000000e-02  1.80000000e-02  1.49999781e+00 
 1.90000000e-02  1.90000000e-02  1.49999778e+00 
 2.00000000e-02  2.00000000e-02  1.49999774e+00 
 2.10000000e-02  2.10000000e-02  1.49999771e+00 
 2.20000000e-02  2.20000000e-02  1.49999767e+00 
 2.30000000e-02  2.30000000e-02  1.49999763e+00 
 2.40000000e-02  2.40000000e-02  1.49999760e+00 
 2.50000000e-02  2.50000000e-02  1.49999756e+00 
 2.60000000e-02  2.60000000e-02  1.49999752e+00 
 2.70000000e-02  2.70000000e-02  1.49999747e+00 
 2.80000000e-02  2.80000000e-02  1.49999743e+00 
 2.90000000e-02  2.90000000e-02  1.49999738e+00 
 3.00000000e-02  3.00000000e-02  1.49999734e+00 
 3.10000000e-02  3.10000000e-02  1.49999729e+00 
 3.20000000e-02  3.20000000e-02  1.49999724e+00 
 3.30000000e-02  3.30000000e-02  1.49999718e+00 
 3.40000000e-02  3.40000000e-02  1.49999713e+00 
 3.50000000e-02  3.50000000e-02  1.49999707e+00 
 3.60000000e-02  3.60000000e-02  1.49999702e+00 
 3.70000000e-02  3.70000000e-02  1.49999696e+00 
 3.80000000e-02  3.80000000e-02  1.49999690e+00 
 3.90000000e-02  3.90000000e-02  1.49999683e+00 
 4.00000000e-02  4.00000000e-02  1.49999677e+00 
 4.10000000e-02  4.10000000e-02  1.49999670e+00 
 4.20000000e-02  4.20000000e-02  1.49999663e+00 
 4.30000000e-02  4.30000000e-02  1.49999655e+00 
 4.40000000e-02  4.40000000e-02  1.49999648e+00 
 4.50000000e-02  4.50000000e-02  1.49999640e+00 
 4.60000000e-02  4.60000000e-02  1.49999632e+00 
 4.70000000e-02  4.70000000e-02  1.49999624e+00 
 4.80000000e-02  4.80000000e-02  1.49999615e+00 
 4.90000000e-02  4.90000000e-02  1.49999606e+00 
 5.00000000e-02  5.00000000e-02  1.49999597e+00 
 5.10000000e-02  5.10000000e-02  1.49999587e+00 
 5.20000000e-02  5.20000000e-02  1.49999578e+00 
 5.30000000e-02  5.30000000e-02  1.49999567e+00 
 5.40000000e-02  5.40000000e-02  1.49999557e+00 
 5.50000000e-02  5.50000000e-02  1.49999546e+00 
 5.60000000e-02  5.60000000e-02  1.49999535e+00 
 5.70000000e-02  5.70000000e-02  1.49999523e+00 
 5.80000000e-02  5.80000000e-02  1.49999511e+00 
 5.90000000e-02  5.90000000e-02  1.49999499e+00 
 6.00000000e-02  6.00000000e-02  1.49999486e+00 
 6.10000000e-02  6.10000000e-02  1.49999473e+00 
 6.20000000e-02  6.20000000e-02  1.49999459e+00 
 6.30000000e-02  6.30000000e-02  1.49999445e+00 
 6.40000000e-02  6.40000000e-02  1.49999431e+00 
 6.50000000e-02  6.50000000e-02  1.49999415e+00 
 6.60000000e-02  6.60000000e-02  1.49999400e+00 
 6.70000000e-02  6.70000000e-02  1.49999384e+00 
 6.80000000e-02  6.80000000e-02  1.49999367e+00 
 6.90000000e-02  6.90000000e-02  1.49999350e+00 
 7.00000000e-02  7.00000000e-02  1.49999332e+00 
 7.10000000e-02  7.10000000e-02  1.49999314e+00 
 7.20000000e-02  7.20000000e-02  1.49999295e+00 
 7.30000000e-02  7.30000000e-02  1.49999275e+00 
 7.40000000e-02  7.40000000e-02  1.49999255e+00 
 7.50000000e-02  7.50000000e-02  1.49999234e+00 
 7.60000000e-02  7.60000000e-02  1.49999213e+00 
 7.70000000e-02  7.70000000e-02  1.49999190e+00 
 7.80000000e-02  7.80000000e-02  1.49999167e+00 
 7.90000000e-02  7.90000000e-02  1.49999144e+00 
 8.00000000e-02  8.00000000e-02  1.49999119e+00 
 8.10000000e-02  8.10000000e-02  1.49999094e+00 
 8.20000000e-02  8.20000000e-02  1.49999067e+00 
 8.30000000e-02  8.30000000e-02  1.49999040e+00 
 8.40000000e-02  8.40000000e-02  1.49999012e+00 
 8.50000000e-02  8.50000000e-02  1.49998983e+00 
 8.60000000e-02  8.60000000e-02  1.49998953e+00 
 8.70000000e-02  8.70000000e-02  1.49998923e+00 
 8.80000000e-02  8.80000000e-02  1.49998891e+00 
 8.90000000e-02  8.90000000e-02  1.49998858e+00 
 9.00000000e-02  9.00000000e-02  1.49998824e+00 
 9.10000000e-02  9.10000000e-02  1.49998789e+00 
 9.20000000e-02  9.20000000e-02  1.49998752e+00 
 9.30000000e-02  9.30000000e-02  1.49998715e+00 
 9.40000000e-02  9.40000000e-02  1.49998676e+00 
 9.50000000e-02  9.50000000e-02  1.49998636e+00 
 9.60000000e-02  9.60000000e-02  1.49998595e+00 
 9.70000000e-02  9.70000000e-02  1.49998552e+00 
 9.80000000e-02  9.80000000e-02  1.49998508e+00 
 9.90000000e-02  9.90000000e-02  1.49998463e+00 
 1.00000000e-01  1.00000000e-01  1.49998416e+00 
 1.01000000e-01  1.01000000e-01  1.49998367e+00 
 1.02000000e-01  1.02000000e-01  1.49998317e+00 
 1.03000000e-01  1.03000000e-01  1.49998265e+00 
 1.04000000e-01  1.04000000e-01  1.49998212e+00 
 1.05000000e-01  1.05000000e-01  1.49998157e+00 
 1.06000000e-01  1.06000000e-01  1.49998100e+00 
 1.07000000e-01  1.07000000e-01  1.49998041e+00 
 1.08000000e-01  1.08000000e-01  1.49997980e+00 
 1.09000000e-01  1.09000000e-01  1.49997917e+00 
 1.10000000e-01  1.10000000e-01  1.49997852e+00 
 1.11000000e-01  1.11000000e-01  1.49997786e+00 
 1.12000000e-01  1.12000000e-01  1.49997716e+00 
 1.13000000e-01  1.13000000e-01  1.49997645e+00 
 1.14000000e-01  1.14000000e-01  1.49997571e+00 
 1.15000000e-01  1.15000000e-01  1.49997495e+00 
 1.16000000e-01  1.16000000e-01  1.49997417e+00 
 1.17000000e-01  1.17000000e-01  1.49997336e+00 
 1.18000000e-01  1.18000000e-01  1.49997252e+00 
 1.19000000e-01  1.19000000e-01  1.49997166e+00 
 1.20000000e-01  1.20000000e-01  1.49997077e+00 
 1.21000000e-01  1.21000000e-01  1.49996984e+00 
 1.22000000e-01  1.22000000e-01  1.49996889e+00 
 1.23000000e-01  1.23000000e-01  1.49996791e+00 
 1.24000000e-01  1.24000000e-01  1.49996690e+00 
 1.25000000e-01  1.25000000e-01  1.49996585e+00 
 1.26000000e-01  1.26000000e-01  1.49996477e+00 
 1.27000000e-01  1.27000000e-01  1.49996366e+00 
 1.28000000e-01  1.28000000e-01  1.49996251e+00 
 1.29000000e-01  1.29000000e-01  1.49996132e+00 
 1.30000000e-01  1.30000000e-01  1.49996010e+00 
 1.31000000e-01  1.31000000e-01  1.49995883e+00 
 1.32000000e-01  1.32000000e-01  1.49995753e+00 
 1.33000000e-01  1.33000000e-01  1.49995618e+00 
 1.34000000e-01  1.34000000e-01  1.49995479e+00 
 1.35000000e-01  1.35000000e-01  1.49995336e+00 
 1.36000000e-01  1.36000000e-01  1.49995188e+00 
 1.37000000e-01  1.37000000e-01  1.49995035e+00 
 1.38000000e-01  1.38000000e-01  1.49994877e+00 
 1.39000000e-01  1.39000000e-01  1.49994715e+00 
 1.40000000e-01  1.40000000e-01  1.49994547e+00 
 1.41000000e-01  1.41000000e-01  1.49994374e+00 
 1.42000000e-01  1.42000000e-01  1.49994195e+00 
 1.43000000e-01  1.43000000e-01  1.49994011e+00 
 1.44000000e-01  1.44000000e-01  1.49993821e+00 
 1.45000000e-01  1.45000000e-01  1.49993625e+00 
 1.46000000e-01  1.46000000e-01  1.49993423e+00 
 1.47000000e-01  1.47000000e-01  1.49993214e+00 
 1.48000000e-01  1.48000000e-01  1.49992999e+00 
 1.49000000e-01  1.49000000e-01  1.49992778e+00 
 1.50000000e-01  1.50000000e-01  1.49992549e+00 
 1.51000000e-01  1.51000000e-01  1.49992313e+00 
 1.52000000e-01  1.52000000e-01  1.49992070e+00 
 1.53000000e-01  1.53000000e-01  1.49991819e+00 
 1.54000000e-01  1.54000000e-01  1.49991560e+00 
 1.55000000e-01  1.55000000e-01  1.49991294e+00 
 1.56000000e-01  1.56000000e-01  1.49991019e+00 
 1.57000000e-01  1.57000000e-01  1.49990736e+00 
 1.58000000e-01  1.58000000e-01  1.49990444e+00 
 1.59000000e-01  1.59000000e-01  1.49990143e+00 
 1.60000000e-01  1.60000000e-01  1.49989833e+00 
 1.61000000e-01  1.61000000e-01  1.49989513e+00 
 1.62000000e-01  1.62000000e-01  1.49989183e+00 
 1.63000000e-01  1.63000000e-01  1.49988844e+00 
 1.64000000e-01  1.64000000e-01  1.49988494e+00 
 1.65000000e-01  1.65000000e-01  1.49988134e+00 
 1.66000000e-01  1.66000000e-01  1.49987763e+00 
 1.67000000e-01  1.67000000e-01  1.49987380e+00 
 1.68000000e-01  1.68000000e-01  1.49986986e+00 
 1.69000000e-01  1.69000000e-01  1.49986581e+00 
 1.70000000e-01  1.70000000e-01  1.49986163e+00 
 1.71000000e-01  1.71000000e-01  1.49985733e+00 
 1.72000000e-01  1.72000000e-01  1.49985290e+00 
 1.73000000e-01  1.73000000e-01  1.49984834e+00 
 1.74000000e-01  1.74000000e-01  1.49984365e+00 
 1.75000000e-01  1.75000000e-01  1.49983881e+00 
 1.76000000e-01  1.76000000e-01  1.49983384e+00 
 1.77000000e-01  1.77000000e-01  1.49982872e+00 
 1.78000000e-01  1.78000000e-01  1.49982346e+00 
 1.79000000e-01  1.79000000e-01  1.49981804e+00 
 1.80000000e-01  1.80000000e-01  1.49981246e+00 
 1.81000000e-01  1.81000000e-01  1.49980673e+00 
 1.82000000e-01  1.82000000e-01  1.49980083e+00 
 1.83000000e-01  1.83000000e-01  1.49979476e+00 
 1.84000000e-01  1.84000000e-01  1.49978852e+00 
 1.85000000e-01  1.85000000e-01  1.49978210e+00 
 1.86000000e-01  1.86000000e-01  1.49977551e+00 
 1.87000000e-01  1.87000000e-01  1.49976873e+00 
 1.88000000e-01  1.88000000e-01  1.49976176e+00 
 1.89000000e-01  1.89000000e-01  1.49975460e+00 
 1.90000000e-01  1.90000000e-01  1.49974724e+00 
 1.91000000e-01  1.91000000e-01  1.49973968e+00 
 1.92000000e-01  1.92000000e-01  1.49973191e+00 
 1.93000000e-01  1.93000000e-01  1.49972393e+00 
 1.94000000e-01  1.94000000e-01  1.49971574e+00 
 1.95000000e-01  1.95000000e-01  1.49970732e+00 
 1.96000000e-01  1.96000000e-01  1.49969869e+00 
 1.97000000e-01  1.97000000e-01  1.49968982e+00 
 1.98000000e-01  1.98000000e-01  1.49968071e+00 
 1.99000000e-01  1.99000000e-01  1.49967137e+00 
 2.00000000e-01  2.00000000e-01  1.49966178e+00 
 2.01000000e-01  2.01000000e-01  1.49965195e+00 
 2.02000000e-01  2.02000000e-01  1.49964186e+00 
 2.03000000e-01  2.03000000e-01  1.49963151e+00 
 2.04000000e-01  2.04000000e-01  1.49962090e+00 
 2.05000000e-01  2.05000000e-01  1.49961002e+00 
 2.06000000e-01  2.06000000e-01  1.49959887e+00 
 2.07000000e-01  2.07000000e-01  1.49958744e+00 
 2.08000000e-01  2.08000000e-01  1.49957572e+00 
 2.09000000e-01  2.09000000e-01  1.49956371e+00 
 2.10000000e-01  2.10000000e-01  1.49955142e+00 
 2.11000000e-01  2.11000000e-01  1.49953882e+00 
 2.12000000e-01  2.12000000e-01  1.49952592e+00 
 2.13000000e-01  2.13000000e-01  1.49951271e+00 
