 time            v(vin)          v(vout)        
 0.00000000e+00  7.50000000e-01  5.37843018e-01 
 1.00000000e-08  7.50000628e-01  5.37839489e-01 
 2.00000000e-08  7.50001257e-01  5.37832945e-01 
 4.00000000e-08  7.50002513e-01  5.37813913e-01 
 8.00000000e-08  7.50005027e-01  5.37755964e-01 
 1.60000000e-07  7.50010053e-01  5.37599190e-01 
 3.20000000e-07  7.50020106e-01  5.37237444e-01 
 6.40000000e-07  7.50040212e-01  5.36492257e-01 
 1.28000000e-06  7.50080424e-01  5.35011788e-01 
 2.28000000e-06  7.50143252e-01  5.32714888e-01 
 3.28000000e-06  7.50206074e-01  5.30431988e-01 
 4.28000000e-06  7.50268888e-01  5.28162887e-01 
 5.28000000e-06  7.50331691e-01  5.25907909e-01 
 6.28000000e-06  7.50394482e-01  5.23667283e-01 
 7.28000000e-06  7.50457256e-01  5.21441213e-01 
 8.28000000e-06  7.50520013e-01  5.19229900e-01 
 9.28000000e-06  7.50582749e-01  5.17033538e-01 
 1.02800000e-05  7.50645462e-01  5.14852323e-01 
 1.12800000e-05  7.50708150e-01  5.12686441e-01 
 1.22800000e-05  7.50770810e-01  5.10536079e-01 
 1.32800000e-05  7.50833439e-01  5.08401416e-01 
 1.42800000e-05  7.50896035e-01  5.06282627e-01 
 1.52800000e-05  7.50958597e-01  5.04179883e-01 
 1.62800000e-05  7.51021120e-01  5.02093347e-01 
 1.72800000e-05  7.51083603e-01  5.00023180e-01 
 1.82800000e-05  7.51146043e-01  4.97969534e-01 
 1.92800000e-05  7.51208437e-01  4.95932559e-01 
 2.02800000e-05  7.51270785e-01  4.93912395e-01 
 2.12800000e-05  7.51333082e-01  4.91909178e-01 
 2.14050000e-05  7.51340865e-01  4.91660010e-01 
 2.16550000e-05  7.51356429e-01  4.91162381e-01 
 2.21550000e-05  7.51387548e-01  4.90170364e-01 
 2.31550000e-05  7.51449745e-01  4.88199264e-01 
 2.41550000e-05  7.51511884e-01  4.86245464e-01 
 2.42800000e-05  7.51519647e-01  4.86002496e-01 
 2.45300000e-05  7.51535170e-01  4.85517284e-01 
 2.50300000e-05  7.51566206e-01  4.84550161e-01 
 2.60300000e-05  7.51628231e-01  4.82629081e-01 
 2.70300000e-05  7.51690192e-01  4.80725594e-01 
 2.80300000e-05  7.51752086e-01  4.78839784e-01 
 2.90300000e-05  7.51813911e-01  4.76971733e-01 
 3.00300000e-05  7.51875665e-01  4.75121511e-01 
 3.10300000e-05  7.51937344e-01  4.73289184e-01 
 3.20300000e-05  7.51998947e-01  4.71474807e-01 
 3.30300000e-05  7.52060471e-01  4.69678427e-01 
 3.40300000e-05  7.52121913e-01  4.67900085e-01 
 3.50300000e-05  7.52183272e-01  4.66139811e-01 
 3.60300000e-05  7.52244545e-01  4.64397628e-01 
 3.70300000e-05  7.52305728e-01  4.62673552e-01 
 3.80300000e-05  7.52366821e-01  4.60967588e-01 
 3.90300000e-05  7.52427821e-01  4.59279736e-01 
 4.00300000e-05  7.52488725e-01  4.57609986e-01 
 4.10300000e-05  7.52549530e-01  4.55958319e-01 
 4.20300000e-05  7.52610235e-01  4.54324710e-01 
 4.30300000e-05  7.52670836e-01  4.52709125e-01 
 4.40300000e-05  7.52731333e-01  4.51111524e-01 
 4.50300000e-05  7.52791721e-01  4.49531857e-01 
 4.60300000e-05  7.52851999e-01  4.47970067e-01 
 4.70300000e-05  7.52912165e-01  4.46426091e-01 
 4.80300000e-05  7.52972216e-01  4.44899859e-01 
 4.90300000e-05  7.53032149e-01  4.43391293e-01 
 5.00300000e-05  7.53091963e-01  4.41900308e-01 
 5.10300000e-05  7.53151654e-01  4.40426814e-01 
 5.20300000e-05  7.53211221e-01  4.38970715e-01 
 5.30300000e-05  7.53270662e-01  4.37531908e-01 
 5.40300000e-05  7.53329973e-01  4.36110284e-01 
 5.50300000e-05  7.53389153e-01  4.34705729e-01 
 5.60300000e-05  7.53448199e-01  4.33318125e-01 
 5.70300000e-05  7.53507108e-01  4.31947348e-01 
 5.80300000e-05  7.53565880e-01  4.30593270e-01 
 5.81550000e-05  7.53573216e-01  4.30425207e-01 
 5.84050000e-05  7.53587883e-01  4.30089780e-01 
 5.89050000e-05  7.53617189e-01  4.29422046e-01 
 5.99050000e-05  7.53675695e-01  4.28098916e-01 
 6.09050000e-05  7.53734055e-01  4.26792092e-01 
 6.19050000e-05  7.53792268e-01  4.25501432e-01 
 6.20300000e-05  7.53799535e-01  4.25341256e-01 
 6.22800000e-05  7.53814060e-01  4.25021582e-01 
 6.27800000e-05  7.53843082e-01  4.24385248e-01 
 6.37800000e-05  7.53901013e-01  4.23124493e-01 
 6.47800000e-05  7.53958789e-01  4.21879471e-01 
 6.57800000e-05  7.54016409e-01  4.20650027e-01 
 6.67800000e-05  7.54073871e-01  4.19436004e-01 
 6.77800000e-05  7.54131171e-01  4.18237242e-01 
 6.87800000e-05  7.54188309e-01  4.17053580e-01 
 6.97800000e-05  7.54245281e-01  4.15884857e-01 
 7.07800000e-05  7.54302086e-01  4.14730908e-01 
 7.17800000e-05  7.54358721e-01  4.13591570e-01 
 7.27800000e-05  7.54415184e-01  4.12466676e-01 
 7.37800000e-05  7.54471472e-01  4.11356060e-01 
 7.47800000e-05  7.54527584e-01  4.10259555e-01 
 7.57800000e-05  7.54583518e-01  4.09176995e-01 
 7.67800000e-05  7.54639270e-01  4.08108212e-01 
 7.69050000e-05  7.54646226e-01  4.07975597e-01 
 7.71550000e-05  7.54660130e-01  4.07710945e-01 
 7.76550000e-05  7.54687903e-01  4.07184199e-01 
 7.86550000e-05  7.54743310e-01  4.06140799e-01 
 7.87800000e-05  7.54750223e-01  4.06011333e-01 
 7.90300000e-05  7.54764039e-01  4.05752969e-01 
 7.95300000e-05  7.54791638e-01  4.05238740e-01 
 8.05300000e-05  7.54846692e-01  4.04220139e-01 
 8.15300000e-05  7.54901555e-01  4.03214526e-01 
 8.25300000e-05  7.54956224e-01  4.02221737e-01 
 8.35300000e-05  7.55010698e-01  4.01241608e-01 
 8.45300000e-05  7.55064973e-01  4.00273977e-01 
 8.55300000e-05  7.55119049e-01  3.99318682e-01 
 8.56550000e-05  7.55125795e-01  3.99200148e-01 
 8.59050000e-05  7.55139276e-01  3.98963601e-01 
 8.64050000e-05  7.55166200e-01  3.98492794e-01 
 8.74050000e-05  7.55219895e-01  3.97560199e-01 
 8.84050000e-05  7.55273384e-01  3.96639483e-01 
 8.94050000e-05  7.55326665e-01  3.95730492e-01 
 9.04050000e-05  7.55379736e-01  3.94833070e-01 
 9.14050000e-05  7.55432594e-01  3.93947063e-01 
 9.24050000e-05  7.55485238e-01  3.93072322e-01 
 9.34050000e-05  7.55537666e-01  3.92208695e-01 
 9.44050000e-05  7.55589874e-01  3.91356037e-01 
 9.54050000e-05  7.55641862e-01  3.90514200e-01 
 9.64050000e-05  7.55693627e-01  3.89683040e-01 
 9.74050000e-05  7.55745168e-01  3.88862416e-01 
 9.84050000e-05  7.55796482e-01  3.88052187e-01 
 9.94050000e-05  7.55847566e-01  3.87252215e-01 
 1.00405000e-04  7.55898420e-01  3.86462363e-01 
 1.01405000e-04  7.55949042e-01  3.85682497e-01 
 1.02405000e-04  7.55999428e-01  3.84912485e-01 
 1.03405000e-04  7.56049577e-01  3.84152197e-01 
 1.04405000e-04  7.56099488e-01  3.83401503e-01 
 1.05405000e-04  7.56149158e-01  3.82660278e-01 
 1.06405000e-04  7.56198585e-01  3.81928397e-01 
 1.07405000e-04  7.56247767e-01  3.81205738e-01 
 1.08405000e-04  7.56296703e-01  3.80492181e-01 
 1.09405000e-04  7.56345390e-01  3.79787607e-01 
 1.10405000e-04  7.56393826e-01  3.79091900e-01 
 1.11405000e-04  7.56442011e-01  3.78404945e-01 
 1.12405000e-04  7.56489940e-01  3.77726631e-01 
 1.13405000e-04  7.56537614e-01  3.77056846e-01 
 1.14405000e-04  7.56585030e-01  3.76395483e-01 
 1.15405000e-04  7.56632185e-01  3.75742433e-01 
 1.16405000e-04  7.56679079e-01  3.75097594e-01 
