vin,vout,dvout_dvin
0.000000000000000000e+00,1.499998230000000099e+00,-2.000000010049518551e-05
1.000000000000000021e-03,1.499998209999999998e+00,-1.500000007581547834e-05
2.000000000000000042e-03,1.499998200000000059e+00,-1.500000007581547834e-05
3.000000000000000062e-03,1.499998179999999959e+00,-1.999999994950485416e-05
4.000000000000000083e-03,1.499998160000000080e+00,-1.999999994950485416e-05
5.000000000000000104e-03,1.499998139999999980e+00,-2.000000006319169188e-05
6.000000000000000125e-03,1.499998120000000101e+00,-1.999999994950485416e-05
7.000000000000000146e-03,1.499998100000000001e+00,-2.000000006319169188e-05
8.000000000000000167e-03,1.499998079999999900e+00,-2.499999993688106770e-05
8.999999999999999320e-03,1.499998050000000083e+00,-2.500000005056790542e-05
1.000000000000000021e-02,1.499998029999999982e+00,-1.999999994950485416e-05
1.099999999999999936e-02,1.499998010000000104e+00,-2.500000005056790542e-05
1.200000000000000025e-02,1.499997980000000064e+00,-2.999999992425728124e-05
1.299999999999999940e-02,1.499997950000000024e+00,-2.500000016425474314e-05
1.400000000000000029e-02,1.499997929999999924e+00,-2.499999982319422998e-05
1.499999999999999944e-02,1.499997900000000106e+00,-3.000000003794411896e-05
1.600000000000000033e-02,1.499997870000000066e+00,-3.000000003794411896e-05
1.700000000000000122e-02,1.499997840000000027e+00,-3.000000015163095668e-05
1.799999999999999864e-02,1.499997809999999987e+00,-2.999999992425728124e-05
1.899999999999999953e-02,1.499997779999999947e+00,-3.500000002532033250e-05
2.000000000000000042e-02,1.499997739999999968e+00,-3.499999991163349478e-05
2.100000000000000130e-02,1.499997709999999929e+00,-3.500000013900717022e-05
2.199999999999999872e-02,1.499997669999999950e+00,-3.999999989900970832e-05
2.299999999999999961e-02,1.499997629999999971e+00,-3.500000002532033250e-05
2.400000000000000050e-02,1.499997599999999931e+00,-3.500000002532033250e-05
2.500000000000000139e-02,1.499997559999999952e+00,-4.000000012638338376e-05
2.599999999999999881e-02,1.499997519999999973e+00,-4.499999977269908413e-05
2.699999999999999969e-02,1.499997470000000055e+00,-4.500000000007275958e-05
2.800000000000000058e-02,1.499997430000000076e+00,-4.500000000007275958e-05
2.900000000000000147e-02,1.499997379999999936e+00,-4.500000011375959730e-05
2.999999999999999889e-02,1.499997339999999957e+00,-4.499999977269908413e-05
3.099999999999999978e-02,1.499997290000000039e+00,-5.000000010113581084e-05
3.200000000000000067e-02,1.499997239999999898e+00,-5.499999997482518665e-05
3.300000000000000155e-02,1.499997180000000041e+00,-5.499999997482518665e-05
3.400000000000000244e-02,1.499997129999999901e+00,-5.499999997482518665e-05
3.500000000000000333e-02,1.499997070000000043e+00,-5.499999997482518665e-05
3.599999999999999728e-02,1.499997019999999903e+00,-5.499999997482518665e-05
3.699999999999999817e-02,1.499996960000000046e+00,-5.999999996220140019e-05
3.799999999999999906e-02,1.499996899999999966e+00,-6.500000006326445146e-05
3.899999999999999994e-02,1.499996829999999948e+00,-6.499999994957761373e-05
4.000000000000000083e-02,1.499996770000000090e+00,-6.499999994957761373e-05
4.100000000000000172e-02,1.499996700000000072e+00,-7.000000005064066499e-05
4.200000000000000261e-02,1.499996630000000053e+00,-7.499999992433004081e-05
4.299999999999999656e-02,1.499996550000000095e+00,-7.500000003801687853e-05
4.399999999999999745e-02,1.499996480000000076e+00,-7.500000003801687853e-05
4.499999999999999833e-02,1.499996399999999896e+00,-8.000000013907992980e-05
4.599999999999999922e-02,1.499996319999999939e+00,-8.000000002539309207e-05
4.700000000000000011e-02,1.499996239999999981e+00,-8.499999989908246789e-05
4.800000000000000100e-02,1.499996150000000084e+00,-9.000000000014551915e-05
4.900000000000000189e-02,1.499996059999999964e+00,-9.000000000014551915e-05
5.000000000000000278e-02,1.499995970000000067e+00,-9.499999998752173269e-05
5.099999999999999672e-02,1.499995870000000009e+00,-9.500000010120857041e-05
5.199999999999999761e-02,1.499995779999999890e+00,-9.999999997489794623e-05
5.299999999999999850e-02,1.499995669999999892e+00,-1.049999999622741598e-04
5.399999999999999939e-02,1.499995570000000056e+00,-1.049999999622741598e-04
5.500000000000000028e-02,1.499995460000000058e+00,-1.099999999496503733e-04
5.600000000000000117e-02,1.499995350000000061e+00,-1.150000000507134246e-04
5.700000000000000205e-02,1.499995229999999902e+00,-1.200000000380896381e-04
5.800000000000000294e-02,1.499995109999999965e+00,-1.199999999244028004e-04
5.899999999999999689e-02,1.499994990000000028e+00,-1.250000000254658516e-04
5.999999999999999778e-02,1.499994859999999930e+00,-1.300000000128420652e-04
6.099999999999999867e-02,1.499994730000000054e+00,-1.350000000002182787e-04
6.199999999999999956e-02,1.499994590000000017e+00,-1.399999999875944923e-04
6.300000000000000044e-02,1.499994449999999979e+00,-1.399999999875944923e-04
6.400000000000000133e-02,1.499994309999999942e+00,-1.500000000760337571e-04
6.500000000000000222e-02,1.499994150000000026e+00,-1.549999999497231329e-04
6.600000000000000311e-02,1.499994000000000050e+00,-1.550000000634099706e-04
6.700000000000000400e-02,1.499993839999999912e+00,-1.650000000381623977e-04
6.800000000000000488e-02,1.499993670000000057e+00,-1.699999999118517735e-04
6.900000000000000577e-02,1.499993499999999980e+00,-1.750000000129148248e-04
7.000000000000000666e-02,1.499993319999999963e+00,-1.799999998866042006e-04
7.099999999999999367e-02,1.499993139999999947e+00,-1.850000001013540896e-04
7.199999999999999456e-02,1.499992949999999992e+00,-1.949999999624196789e-04
7.299999999999999545e-02,1.499992750000000097e+00,-2.000000000634827302e-04
7.399999999999999634e-02,1.499992549999999980e+00,-2.050000000508589437e-04
7.499999999999999722e-02,1.499992339999999924e+00,-2.099999999245483195e-04
7.599999999999999811e-02,1.499992130000000090e+00,-2.200000000129875843e-04
7.699999999999999900e-02,1.499991899999999934e+00,-2.299999999877400114e-04
7.799999999999999989e-02,1.499991669999999999e+00,-2.299999999877400114e-04
7.900000000000000078e-02,1.499991440000000065e+00,-2.399999999624924385e-04
8.000000000000000167e-02,1.499991190000000030e+00,-2.499999999372448656e-04
8.100000000000000255e-02,1.499990939999999995e+00,-2.600000000256841304e-04
8.200000000000000344e-02,1.499990670000000081e+00,-2.700000001141233952e-04
8.300000000000000433e-02,1.499990399999999946e+00,-2.749999999878127710e-04
8.400000000000000522e-02,1.499990120000000093e+00,-2.849999998488783604e-04
8.500000000000000611e-02,1.499989830000000079e+00,-2.950000000510044629e-04
8.599999999999999312e-02,1.499989529999999904e+00,-3.000000001520675141e-04
8.699999999999999400e-02,1.499989229999999951e+00,-3.100000000131331035e-04
8.799999999999999489e-02,1.499988909999999898e+00,-3.249999999752617441e-04
8.899999999999999578e-02,1.499988579999999905e+00,-3.349999999500141712e-04
8.999999999999999667e-02,1.499988239999999973e+00,-3.449999999247665983e-04
9.099999999999999756e-02,1.499987890000000101e+00,-3.600000001142689143e-04
9.199999999999999845e-02,1.499987519999999908e+00,-3.700000000890213414e-04
9.299999999999999933e-02,1.499987149999999936e+00,-3.799999998364000930e-04
9.400000000000000022e-02,1.499986760000000086e+00,-3.949999999122155714e-04
9.500000000000000111e-02,1.499986360000000074e+00,-4.050000001143416739e-04
9.600000000000000200e-02,1.499985949999999901e+00,-4.199999999627834768e-04
9.700000000000000289e-02,1.499985520000000072e+00,-4.349999999249121174e-04
9.800000000000000377e-02,1.499985080000000082e+00,-4.450000001270382199e-04
9.900000000000000466e-02,1.499984629999999930e+00,-4.600000000891668606e-04
1.000000000000000056e-01,1.499984159999999900e+00,-4.799999999249848770e-04
1.010000000000000064e-01,1.499983669999999991e+00,-4.949999998871135176e-04
1.019999999999999934e-01,1.499983169999999921e+00,-5.100000001903026714e-04
1.029999999999999943e-01,1.499982649999999973e+00,-5.249999999250576366e-04
1.039999999999999952e-01,1.499982120000000085e+00,-5.399999998871862772e-04
1.049999999999999961e-01,1.499981570000000097e+00,-5.600000000640648068e-04
1.059999999999999970e-01,1.499981000000000009e+00,-5.800000000135696610e-04
1.069999999999999979e-01,1.499980410000000042e+00,-5.999999999630745151e-04
1.079999999999999988e-01,1.499979799999999974e+00,-6.200000000262662070e-04
1.089999999999999997e-01,1.499979170000000028e+00,-6.399999999757710611e-04
1.100000000000000006e-01,1.499978519999999982e+00,-6.550000000515865395e-04
1.110000000000000014e-01,1.499977859999999996e+00,-6.799999999884676072e-04
1.120000000000000023e-01,1.499977160000000032e+00,-7.050000000390355126e-04
1.130000000000000032e-01,1.499976449999999906e+00,-7.250000001022272045e-04
1.140000000000000041e-01,1.499975709999999962e+00,-7.499999999254214345e-04
1.150000000000000050e-01,1.499974949999999918e+00,-7.699999999886131263e-04
1.160000000000000059e-01,1.499974169999999996e+00,-7.949999999254941940e-04
1.170000000000000068e-01,1.499973360000000033e+00,-8.249999998497514753e-04
1.179999999999999938e-01,1.499972520000000031e+00,-8.500000001276930561e-04
1.189999999999999947e-01,1.499971659999999929e+00,-8.749999999508872861e-04
1.199999999999999956e-01,1.499970770000000009e+00,-9.099999998625207809e-04
1.209999999999999964e-01,1.499969840000000110e+00,-9.400000000141517376e-04
1.219999999999999973e-01,1.499968890000000110e+00,-9.650000000647196430e-04
1.229999999999999982e-01,1.499967910000000071e+00,-9.949999999889769242e-04
1.239999999999999991e-01,1.499966899999999992e+00,-1.030000000014297257e-03
1.250000000000000000e-01,1.499965849999999934e+00,-1.065000000039617589e-03
1.260000000000000009e-01,1.499964770000000058e+00,-1.095000000077561708e-03
1.270000000000000018e-01,1.499963659999999921e+00,-1.129999999989195203e-03
1.280000000000000027e-01,1.499962510000000027e+00,-1.170000000001891749e-03
1.290000000000000036e-01,1.499961319999999931e+00,-1.205000000027212081e-03
1.300000000000000044e-01,1.499960100000000018e+00,-1.244999999926221790e-03
1.310000000000000053e-01,1.499958829999999965e+00,-1.284999999938918336e-03
1.320000000000000062e-01,1.499957530000000094e+00,-1.324999999951614882e-03
1.330000000000000071e-01,1.499956180000000083e+00,-1.369999999951687641e-03
1.340000000000000080e-01,1.499954790000000093e+00,-1.410000000078071025e-03
1.350000000000000089e-01,1.499953359999999902e+00,-1.455000000078143785e-03
1.360000000000000098e-01,1.499951880000000015e+00,-1.504999999951905920e-03
1.370000000000000107e-01,1.499950349999999988e+00,-1.554999999939354893e-03
1.380000000000000115e-01,1.499948770000000042e+00,-1.600000000053114491e-03
1.390000000000000124e-01,1.499947149999999896e+00,-1.650000000154250301e-03
1.400000000000000133e-01,1.499945469999999892e+00,-1.704999999901701813e-03
1.409999999999999865e-01,1.499943739999999970e+00,-1.759999999990213837e-03
1.419999999999999873e-01,1.499941949999999968e+00,-1.814999999965039024e-03
1.429999999999999882e-01,1.499940110000000049e+00,-1.870000000053551048e-03
1.439999999999999891e-01,1.499938210000000050e+00,-1.930000000015752448e-03
1.449999999999999900e-01,1.499936249999999971e+00,-1.989999999977953848e-03
1.459999999999999909e-01,1.499934230000000035e+00,-2.054999999927531462e-03
1.469999999999999918e-01,1.499932140000000080e+00,-2.119999999990795914e-03
1.479999999999999927e-01,1.499929990000000046e+00,-2.180000000066684152e-03
1.489999999999999936e-01,1.499927779999999933e+00,-2.250000000003637979e-03
1.499999999999999944e-01,1.499925490000000083e+00,-2.324999999927968020e-03
1.509999999999999953e-01,1.499923129999999993e+00,-2.394999999978608685e-03
1.519999999999999962e-01,1.499920700000000107e+00,-2.470000000016625563e-03
1.529999999999999971e-01,1.499918190000000040e+00,-2.550000000042018655e-03
1.539999999999999980e-01,1.499915600000000016e+00,-2.625000000080035534e-03
1.549999999999999989e-01,1.499912939999999972e+00,-2.704999999991741788e-03
1.559999999999999998e-01,1.499910190000000032e+00,-2.790000000004511094e-03
1.570000000000000007e-01,1.499907359999999912e+00,-2.875000000017280399e-03
1.580000000000000016e-01,1.499904439999999894e+00,-2.964999999903739081e-03
1.590000000000000024e-01,1.499901429999999980e+00,-3.055000000017571438e-03
1.600000000000000033e-01,1.499898329999999946e+00,-3.150000000005093170e-03
1.610000000000000042e-01,1.499895130000000076e+00,-3.249999999979991117e-03
1.620000000000000051e-01,1.499891829999999926e+00,-3.344999999967512849e-03
1.630000000000000060e-01,1.499888440000000100e+00,-3.444999999942410795e-03
1.640000000000000069e-01,1.499884940000000055e+00,-3.550000000132058631e-03
1.650000000000000078e-01,1.499881339999999952e+00,-3.654999999980645953e-03
1.660000000000000087e-01,1.499877630000000073e+00,-3.769999999917672540e-03
1.670000000000000095e-01,1.499873800000000035e+00,-3.885000000082072802e-03
1.680000000000000104e-01,1.499869859999999999e+00,-3.995000000031723175e-03
1.690000000000000113e-01,1.499865809999999966e+00,-4.114999999956125976e-03
1.700000000000000122e-01,1.499861630000000057e+00,-4.239999999981591827e-03
1.710000000000000131e-01,1.499857329999999989e+00,-4.365000000007057679e-03
1.719999999999999862e-01,1.499852900000000044e+00,-4.495000000019899744e-03
1.729999999999999871e-01,1.499848340000000002e+00,-4.624999999919054972e-03
1.739999999999999880e-01,1.499843650000000084e+00,-4.765000000020336302e-03
1.749999999999999889e-01,1.499838809999999967e+00,-4.905000000121617632e-03
1.759999999999999898e-01,1.499833839999999974e+00,-5.044999999995525286e-03
1.769999999999999907e-01,1.499828720000000004e+00,-5.189999999970495992e-03
1.779999999999999916e-01,1.499823459999999997e+00,-5.339999999932842911e-03
1.789999999999999925e-01,1.499818040000000074e+00,-5.499999999983629095e-03
1.799999999999999933e-01,1.499812460000000014e+00,-5.655000000047039066e-03
1.809999999999999942e-01,1.499806729999999977e+00,-5.814999999984138412e-03
1.819999999999999951e-01,1.499800830000000085e+00,-5.985000000009677024e-03
1.829999999999999960e-01,1.499794759999999894e+00,-6.155000000035215635e-03
1.839999999999999969e-01,1.499788520000000069e+00,-6.329999999934443622e-03
1.849999999999999978e-01,1.499782100000000007e+00,-6.504999999947358447e-03
1.859999999999999987e-01,1.499775510000000089e+00,-6.685000000061336323e-03
1.869999999999999996e-01,1.499768729999999994e+00,-6.875000000036379788e-03
1.880000000000000004e-01,1.499761759999999944e+00,-7.065000000011423253e-03
1.890000000000000013e-01,1.499754599999999938e+00,-7.259999999973842932e-03
1.900000000000000022e-01,1.499747240000000037e+00,-7.459999999923638825e-03
1.910000000000000031e-01,1.499739680000000019e+00,-7.665000000088184606e-03
1.920000000000000040e-01,1.499731909999999946e+00,-7.875000000012732926e-03
1.930000000000000049e-01,1.499723930000000038e+00,-8.084999999937281245e-03
1.940000000000000058e-01,1.499715740000000075e+00,-8.305000000063955667e-03
1.950000000000000067e-01,1.499707319999999955e+00,-8.524999999963256414e-03
1.960000000000000075e-01,1.499698690000000001e+00,-8.749999999963620212e-03
1.970000000000000084e-01,1.499689819999999951e+00,-8.990000000039799488e-03
1.980000000000000093e-01,1.499680710000000028e+00,-9.225000000014915713e-03
1.990000000000000102e-01,1.499671369999999948e+00,-9.464999999977408152e-03
2.000000000000000111e-01,1.499661780000000055e+00,-9.709999999927276804e-03
2.010000000000000120e-01,1.499651950000000067e+00,-9.959999999978208507e-03
2.020000000000000129e-01,1.499641860000000104e+00,-1.022000000011757948e-02
2.030000000000000138e-01,1.499631509999999945e+00,-1.048000000002957677e-02
2.039999999999999869e-01,1.499620900000000034e+00,-1.074499999992895027e-02
2.049999999999999878e-01,1.499610019999999988e+00,-1.101500000004307367e-02
2.059999999999999887e-01,1.499598870000000028e+00,-1.129000000003088644e-02
2.069999999999999896e-01,1.499587439999999994e+00,-1.157499999999345164e-02
2.079999999999999905e-01,1.499575719999999945e+00,-1.186499999994339305e-02
2.089999999999999913e-01,1.499563710000000105e+00,-1.215000000001964509e-02
2.099999999999999922e-01,1.499551419999999968e+00,-1.244500000007064955e-02
2.109999999999999931e-01,1.499538819999999939e+00,-1.274999999998271960e-02
2.119999999999999940e-01,1.499525919999999957e+00,-1.305499999989478965e-02
2.129999999999999949e-01,1.499512710000000082e+00,-1.337000000000898581e-02
2.139999999999999958e-01,1.499499179999999932e+00,-1.368500000000949512e-02
2.149999999999999967e-01,1.499485340000000111e+00,-1.400499999999738066e-02
2.159999999999999976e-01,1.499471170000000075e+00,-1.433500000007370545e-02
2.169999999999999984e-01,1.499456670000000047e+00,-1.466499999992265657e-02
2.179999999999999993e-01,1.499441840000000026e+00,-1.500500000008742063e-02
2.190000000000000002e-01,1.499426659999999911e+00,-1.534500000002481102e-02
2.200000000000000011e-01,1.499411150000000026e+00,-1.568999999983589078e-02
2.210000000000000020e-01,1.499395280000000108e+00,-1.604499999996278348e-02
2.220000000000000029e-01,1.499379060000000097e+00,-1.640000000008967618e-02
2.230000000000000038e-01,1.499362480000000053e+00,-1.676500000007763447e-02
2.240000000000000047e-01,1.499345530000000037e+00,-1.712999999995190592e-02
2.250000000000000056e-01,1.499328219999999989e+00,-1.749999999992724042e-02
2.260000000000000064e-01,1.499310530000000030e+00,-1.788000000010470103e-02
2.270000000000000073e-01,1.499292459999999938e+00,-1.826000000005478796e-02
2.280000000000000082e-01,1.499274009999999935e+00,-1.864499999987856427e-02
2.290000000000000091e-01,1.499255170000000081e+00,-1.904000000001815351e-02
2.300000000000000100e-01,1.499235929999999994e+00,-1.943500000004405592e-02
2.310000000000000109e-01,1.499216300000000057e+00,-1.983500000005733455e-02
2.320000000000000118e-01,1.499196259999999947e+00,-2.024499999993167876e-02
2.330000000000000127e-01,1.499175810000000109e+00,-2.065499999991970981e-02
2.340000000000000135e-01,1.499154950000000097e+00,-2.107000000000880391e-02
2.349999999999999867e-01,1.499133669999999974e+00,-2.148499999998421117e-02
2.359999999999999876e-01,1.499111979999999900e+00,-2.190999999993437086e-02
2.369999999999999885e-01,1.499089850000000057e+00,-2.234499999997296982e-02
2.379999999999999893e-01,1.499067289999999941e+00,-2.277500000002419256e-02
2.389999999999999902e-01,1.499044299999999996e+00,-2.320999999994910468e-02
2.399999999999999911e-01,1.499020870000000061e+00,-2.365499999996245606e-02
2.409999999999999920e-01,1.498996989999999974e+00,-2.410500000007687049e-02
2.419999999999999929e-01,1.498972659999999957e+00,-2.455499999996391125e-02
2.429999999999999938e-01,1.498947880000000010e+00,-2.500499999996463885e-02
2.439999999999999947e-01,1.498922649999999912e+00,-2.546500000005380571e-02
2.449999999999999956e-01,1.498896950000000006e+00,-2.593499999989035132e-02
2.459999999999999964e-01,1.498870780000000069e+00,-2.640499999995427061e-02
2.469999999999999973e-01,1.498844140000000102e+00,-2.687500000001818989e-02
2.479999999999999982e-01,1.498817030000000106e+00,-2.735000000006948540e-02
2.489999999999999991e-01,1.498789439999999917e+00,-2.783000000010815711e-02
2.500000000000000000e-01,1.498761369999999982e+00,-2.831500000002051820e-02
2.510000000000000009e-01,1.498732809999999915e+00,-2.880499999992025550e-02
2.520000000000000018e-01,1.498703759999999940e+00,-2.930000000003474270e-02
2.530000000000000027e-01,1.498674209999999896e+00,-2.980000000002291927e-02
2.540000000000000036e-01,1.498644160000000003e+00,-3.029499999991003278e-02
2.550000000000000044e-01,1.498613619999999980e+00,-3.079999999999927240e-02
2.560000000000000053e-01,1.498582560000000008e+00,-3.131499999994957761e-02
2.570000000000000062e-01,1.498550990000000027e+00,-3.182500000002619345e-02
2.580000000000000071e-01,1.498518910000000037e+00,-3.233999999997649866e-02
2.590000000000000080e-01,1.498486310000000099e+00,-3.286499999990155629e-02
2.600000000000000089e-01,1.498453180000000051e+00,-3.339000000005398761e-02
2.610000000000000098e-01,1.498419530000000055e+00,-3.391500000009273208e-02
2.620000000000000107e-01,1.498385349999999949e+00,-3.444500000000516593e-02
2.630000000000000115e-01,1.498350639999999956e+00,-3.498500000000603904e-02
2.640000000000000124e-01,1.498315379999999974e+00,-3.553000000010797521e-02
2.650000000000000133e-01,1.498279579999999944e+00,-3.606999999988147465e-02
2.660000000000000142e-01,1.498243240000000087e+00,-3.661499999986972398e-02
2.670000000000000151e-01,1.498206350000000020e+00,-3.717000000006009941e-02
2.680000000000000160e-01,1.498168900000000026e+00,-3.772500000002310117e-02
2.690000000000000169e-01,1.498130900000000043e+00,-3.828000000009978976e-02
2.700000000000000178e-01,1.498092339999999911e+00,-3.884500000003754394e-02
2.710000000000000187e-01,1.498053209999999913e+00,-3.941499999996267434e-02
2.720000000000000195e-01,1.498013510000000048e+00,-3.998499999988780473e-02
