Adc_ol_dB_arr,fcu_arr
3.233319999999999794e+01,2.770820000000000000e+06
1.569359999999999999e+01,1.498760000000000000e+07
1.684240000000000137e+01,1.415100000000000000e+07
3.355180000000000007e+01,2.253940000000000000e+06
1.964890000000000114e+01,1.016710000000000000e+07
3.318299999999999983e+01,2.432850000000000000e+06
1.549210000000000065e+01,1.466710000000000000e+07
1.714649999999999963e+01,1.217430000000000000e+07
8.209319999999999951e+00,3.240640000000000000e+07
2.650779999999999959e+01,4.716980000000000000e+06
1.192699999999999960e+01,2.323780000000000000e+07
1.591879999999999917e+01,1.531210000000000000e+07
9.953920000000000101e+00,2.865190000000000000e+07
1.524510000000000076e+01,1.604600000000000000e+07
3.349900000000000233e+01,2.284840000000000000e+06
3.252179999999999893e+01,2.516820000000000000e+06
3.022019999999999840e+01,3.188520000000000000e+06
2.313899999999999935e+01,7.092750000000000000e+06
7.639669999999999739e+00,3.074810000000000000e+07
1.581579999999999941e+01,1.614560000000000000e+07
6.617630000000000123e+00,3.729670000000000000e+07
1.583300000000000018e+01,1.536930000000000000e+07
3.261679999999999779e+01,2.560340000000000000e+06
3.338139999999999930e+01,2.281540000000000000e+06
3.320989999999999753e+01,2.340200000000000000e+06
3.273559999999999803e+01,2.528750000000000000e+06
3.259870000000000090e+01,2.406740000000000000e+06
2.439209999999999923e+01,6.434150000000000000e+06
3.261869999999999692e+01,2.523300000000000000e+06
2.958239999999999981e+01,3.556330000000000000e+06
1.204950000000000010e+01,2.205350000000000000e+07
2.837559999999999860e+01,4.013840000000000000e+06
2.279459999999999908e+01,6.950830000000000000e+06
2.285239999999999938e+01,7.051700000000000000e+06
1.091939999999999955e+01,2.334540000000000000e+07
3.357609999999999673e+01,2.150260000000000000e+06
2.344910000000000139e+01,6.975650000000000000e+06
1.156719999999999970e+01,2.348200000000000000e+07
3.136080000000000112e+01,2.681070000000000000e+06
1.912839999999999918e+01,1.118560000000000000e+07
3.072589999999999932e+01,2.966880000000000000e+06
2.436189999999999856e+01,6.104190000000000000e+06
3.023260000000000147e+01,3.107620000000000000e+06
2.131909999999999883e+01,9.122350000000000000e+06
1.619610000000000127e+01,1.442770000000000000e+07
3.098750000000000071e+01,2.843210000000000000e+06
2.123369999999999891e+01,9.007170000000000000e+06
3.267759999999999820e+01,2.412790000000000000e+06
3.251200000000000045e+01,2.520150000000000000e+06
2.783269999999999911e+01,4.311750000000000000e+06
3.043370000000000175e+01,3.166750000000000000e+06
3.308429999999999893e+01,2.334620000000000000e+06
2.233899999999999864e+01,7.604620000000000000e+06
3.067800000000000082e+01,2.924630000000000000e+06
2.473949999999999960e+01,6.246400000000000000e+06
1.647490000000000165e+01,1.438730000000000000e+07
1.516879999999999917e+01,1.643940000000000000e+07
4.160949999999999704e+00,4.179850000000000000e+07
2.860350000000000037e+01,3.817480000000000000e+06
3.105659999999999954e+01,3.002280000000000000e+06
2.046280000000000143e+01,9.353380000000000000e+06
2.511489999999999867e+01,5.719940000000000000e+06
1.079379999999999917e+01,2.653590000000000000e+07
1.845959999999999823e+01,1.211760000000000000e+07
3.248930000000000007e+01,2.451740000000000000e+06
9.708729999999999194e+00,2.818340000000000000e+07
2.284619999999999962e+01,7.431080000000000000e+06
2.692889999999999873e+01,4.725920000000000000e+06
2.331840000000000046e+01,7.339220000000000000e+06
3.245729999999999649e+01,2.519510000000000000e+06
2.388070000000000093e+01,6.846630000000000000e+06
1.589220000000000077e+01,1.566460000000000000e+07
3.326639999999999731e+01,2.322650000000000000e+06
9.201069999999999638e+00,3.096940000000000000e+07
3.357999999999999829e+01,2.129190000000000000e+06
3.348290000000000077e+01,2.295150000000000000e+06
2.636019999999999897e+01,4.980770000000000000e+06
3.309799999999999898e+01,2.426410000000000000e+06
1.220090000000000074e+01,2.252720000000000000e+07
3.209640000000000271e+01,2.606580000000000000e+06
2.261479999999999890e+01,7.300820000000000000e+06
1.252529999999999966e+01,2.139100000000000000e+07
3.348469999999999658e+01,2.193840000000000000e+06
3.335439999999999827e+01,2.378260000000000000e+06
1.683689999999999998e+01,1.303150000000000000e+07
2.623019999999999996e+01,5.312240000000000000e+06
3.074360000000000070e+01,2.986890000000000000e+06
1.948029999999999973e+01,1.027460000000000000e+07
2.876409999999999911e+01,4.004480000000000000e+06
2.288670000000000115e+01,7.736490000000000000e+06
3.049579999999999913e+01,3.243730000000000000e+06
1.510779999999999923e+01,1.670130000000000000e+07
1.697100000000000009e+01,1.385930000000000000e+07
2.347159999999999869e+01,6.846010000000000000e+06
1.291559999999999953e+01,1.971130000000000000e+07
8.862180000000000391e+00,3.102580000000000000e+07
2.717150000000000176e+01,4.441210000000000000e+06
7.585560000000000080e+00,3.222490000000000000e+07
1.597470000000000034e+01,1.593500000000000000e+07
1.594510000000000005e+01,1.546670000000000000e+07
3.340550000000000352e+01,2.297980000000000000e+06
1.393529999999999980e+01,1.886110000000000000e+07
1.782120000000000104e+01,1.259560000000000000e+07
3.238629999999999853e+01,2.536280000000000000e+06
2.138700000000000045e+01,8.695980000000000000e+06
1.302849999999999930e+01,2.009720000000000000e+07
1.305579999999999963e+01,2.053590000000000000e+07
3.037290000000000134e+01,3.269210000000000000e+06
1.211190000000000033e+01,2.092590000000000000e+07
2.566329999999999956e+01,5.342190000000000000e+06
9.926880000000000592e+00,2.775510000000000000e+07
3.357090000000000174e+01,2.308300000000000000e+06
3.205709999999999837e+01,2.744960000000000000e+06
3.387149999999999750e+01,2.091480000000000000e+06
2.709619999999999962e+01,4.625650000000000000e+06
3.135800000000000054e+01,2.903160000000000000e+06
1.326679999999999993e+01,2.104490000000000000e+07
1.152740000000000009e+01,2.396920000000000000e+07
1.664930000000000021e+01,1.463770000000000000e+07
2.197810000000000130e+01,7.772700000000000000e+06
2.876869999999999905e+01,3.629720000000000000e+06
3.057410000000000139e+01,3.150760000000000000e+06
1.940749999999999886e+01,1.009320000000000000e+07
1.392070000000000007e+01,1.906090000000000000e+07
3.166019999999999968e+01,2.625730000000000000e+06
1.048760000000000048e+01,2.677230000000000000e+07
1.940279999999999916e+01,1.030980000000000000e+07
3.317069999999999652e+01,2.344830000000000000e+06
1.346010000000000062e+01,1.945070000000000000e+07
3.268070000000000164e+01,2.480620000000000000e+06
2.914110000000000156e+01,3.499080000000000000e+06
1.359650000000000070e+01,1.885180000000000000e+07
3.211829999999999785e+01,2.640850000000000000e+06
7.820949999999999847e+00,3.479760000000000000e+07
3.310159999999999769e+01,2.410120000000000000e+06
1.553490000000000038e+01,1.649290000000000000e+07
3.356609999999999872e+01,2.236300000000000000e+06
3.306539999999999679e+01,2.579630000000000000e+06
2.240439999999999898e+01,7.335450000000000000e+06
3.324849999999999994e+01,2.390500000000000000e+06
2.542470000000000141e+01,5.221570000000000000e+06
2.645560000000000045e+01,4.645940000000000000e+06
1.407080000000000020e+01,1.911120000000000000e+07
2.985480000000000089e+01,3.425370000000000000e+06
1.673649999999999949e+01,1.365840000000000000e+07
2.283269999999999911e+01,7.358460000000000000e+06
3.172830000000000084e+01,2.838740000000000000e+06
1.184159999999999968e+01,2.135760000000000000e+07
5.952429999999999666e+00,4.246650000000000000e+07
2.218980000000000175e+01,7.347960000000000000e+06
1.680559999999999832e+01,1.331920000000000000e+07
2.638419999999999987e+01,4.852930000000000000e+06
2.298750000000000071e+01,7.273810000000000000e+06
2.687450000000000117e+01,4.730750000000000000e+06
3.372939999999999827e+01,2.103070000000000000e+06
2.167070000000000007e+01,8.212500000000000000e+06
9.770329999999999515e+00,2.928870000000000000e+07
1.159280000000000044e+01,2.253170000000000000e+07
1.843909999999999982e+01,1.214710000000000000e+07
3.319819999999999993e+01,2.342330000000000000e+06
1.357319999999999993e+01,1.853710000000000000e+07
8.160750000000000171e+00,3.336630000000000000e+07
3.170690000000000097e+01,2.678600000000000000e+06
1.721790000000000020e+01,1.353320000000000000e+07
3.098959999999999937e+01,3.011990000000000000e+06
2.508399999999999963e+01,5.852210000000000000e+06
2.120860000000000056e+01,9.063750000000000000e+06
3.341510000000000247e+01,2.355780000000000000e+06
2.776200000000000045e+01,4.332270000000000000e+06
2.805849999999999866e+01,4.175590000000000000e+06
2.517520000000000024e+01,5.723510000000000000e+06
1.776190000000000069e+01,1.236180000000000000e+07
1.550929999999999964e+01,1.619390000000000000e+07
2.585670000000000002e+01,5.166360000000000000e+06
1.487979999999999947e+01,1.629370000000000000e+07
1.370989999999999931e+01,1.817570000000000000e+07
3.121420000000000172e+01,2.875880000000000000e+06
2.574559999999999960e+01,5.324940000000000000e+06
1.650730000000000075e+01,1.369460000000000000e+07
8.605069999999999553e+00,2.886630000000000000e+07
2.046699999999999875e+01,9.433980000000000000e+06
3.348169999999999646e+01,2.311860000000000000e+06
1.232910000000000039e+01,2.090580000000000000e+07
